net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,%Defintieve aansl (NRM),type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
westland-infra,871687800090000015,OOSTEINDE,2291AA,2291AE,WATERINGEN,29,96.55,100.0,100,83,3x25,7314,89.66,6.9
westland-infra,871687800090000015,WATERPARK,2291AK,2291AK,WATERINGEN,39,92.31,100.0,100,64,1x35,7830,94.87,5.13
westland-infra,871687800090000015,AZALEAPARK,2291AL,2291AL,WATERINGEN,29,100.0,100.0,100,86,1x35,3669,100.0,0.0
westland-infra,871687800090000015,DRUIVENLAAN,2291AN,2291AT,WATERINGEN,24,100.0,100.0,100,96,3x25,4396,87.5,0.0
westland-infra,871687800090000015,KWAKLAAN,2291AV,2291AV,WATERINGEN,16,100.0,100.0,100,88,3x25,3083,100.0,0.0
westland-infra,871687800090000015,VLOTLAAN,2291AW,2291AX,WATERINGEN,27,100.0,100.0,100,81,3x25,2396,74.07,0.0
westland-infra,871687800090000015,VLIETLAAN,2291AZ,2291AZ,WATERINGEN,24,95.83,100.0,100,88,1x35,2728,100.0,0.0
westland-infra,871687800090000015,HERENSTRAAT,2291BB,2291BB,WATERINGEN,28,100.0,100.0,100,75,3x25,14617,96.43,0.0
westland-infra,871687800090000015,HERENSTRAAT,2291BC,2291BC,WATERINGEN,12,100.0,100.0,100,75,3x25,9753,100.0,8.33
westland-infra,871687800090000015,HERENSTRAAT,2291BE,2291BG,WATERINGEN,14,100.0,100.0,100,50,3x25,23336,92.86,14.29
westland-infra,871687800090000015,HERENSTRAAT,2291BH,2291BH,WATERINGEN,19,100.0,100.0,100,63,3x25,16884,84.21,5.26
westland-infra,871687800090000015,HERENSTRAAT,2291BJ,2291BK,WATERINGEN,25,96.0,100.0,100,80,3x25,12575,92.0,8.0
westland-infra,871687800090000015,HERENSTRAAT,2291BL,2291BR,WATERINGEN,43,97.67,100.0,100,93,3x25,4371,90.7,0.0
westland-infra,871687800090000015,ARKPAVILJOEN,2291BS,2291BS,WATERINGEN,19,100.0,100.0,100,84,3x25,1605,100.0,0.0
westland-infra,871687800090000015,ARKPAVILJOEN,2291BT,2291BT,WATERINGEN,18,100.0,100.0,100,94,3x25,1470,100.0,0.0
westland-infra,871687800090000015,ARKPAVILJOEN,2291BV,2291BV,WATERINGEN,20,100.0,100.0,100,100,3x25,1348,95.0,0.0
westland-infra,871687800090000015,HEULWEG,2291BW,2291BW,WATERINGEN,13,92.31,100.0,100,77,3x25,8401,92.31,0.0
westland-infra,871687800090000015,HEULWEG,2291BX,2291BZ,WATERINGEN,21,90.48,100.0,100,71,3x25,7610,95.24,0.0
westland-infra,871687800090000015,PLEIN,2291CA,2291CA,WATERINGEN,22,100.0,100.0,100,41,3x25,21344,90.91,4.55
westland-infra,871687800090000015,PLEIN,2291CB,2291CB,WATERINGEN,11,100.0,100.0,100,100,3x25,3766,100.0,0.0
westland-infra,871687800090000015,PLEIN,2291CC,2291CC,WATERINGEN,46,97.83,100.0,100,78,3x25,13801,91.3,2.17
westland-infra,871687800090000015,KERKLAAN,2291CD,2291CD,WATERINGEN,24,91.67,100.0,100,88,3x25,6053,100.0,4.17
westland-infra,871687800090000015,KERKLAAN,2291CE,2291CE,WATERINGEN,23,100.0,100.0,100,96,3x25,7169,100.0,17.39
westland-infra,871687800090000015,KERKLAAN,2291CG,2291CG,WATERINGEN,15,93.33,100.0,100,100,3x25,5663,93.33,0.0
westland-infra,871687800090000015,KERKLAAN,2291CH,2291CH,WATERINGEN,60,100.0,100.0,100,60,1x35,4170,93.33,0.0
westland-infra,871687800090000015,KERKLAAN,2291CJ,2291CL,WATERINGEN,35,100.0,100.0,100,89,3x25,6406,100.0,0.0
westland-infra,871687800090000015,HOFZICHT,2291CM,2291CM,WATERINGEN,16,100.0,100.0,100,81,3x25,2651,87.5,0.0
westland-infra,871687800090000015,HOFZICHT,2291CN,2291CN,WATERINGEN,15,100.0,100.0,100,100,3x25,3674,100.0,6.67
westland-infra,871687800090000015,HOFZICHT,2291CP,2291CP,WATERINGEN,17,100.0,100.0,100,100,3x25,3312,88.24,5.88
westland-infra,871687800090000015,HOFWIJK,2291CR,2291CR,WATERINGEN,13,92.31,100.0,100,92,3x25,6269,100.0,0.0
westland-infra,871687800090000015,HOFWIJK,2291CS,2291CS,WATERINGEN,14,100.0,100.0,100,100,3x25,2728,100.0,7.14
westland-infra,871687800090000015,HOFPARK,2291CT,2291CV,WATERINGEN,18,100.0,100.0,100,94,3x25,2863,100.0,0.0
westland-infra,871687800090000015,GANTELPLEIN,2291CW,2291CZ,WATERINGEN,29,100.0,100.0,100,62,1x35,2938,96.55,3.45
westland-infra,871687800090000015,VLEERSTEEG,2291DA,2291DB,WATERINGEN,32,100.0,100.0,100,84,3x25,5096,37.5,0.0
westland-infra,871687800090000015,BAKKERSHOF,2291DC,2291DC,WATERINGEN,14,100.0,100.0,100,93,1x35,2320,100.0,0.0
westland-infra,871687800090000015,BAKKERSHOF,2291DD,2291DD,WATERINGEN,35,100.0,100.0,100,94,3x25,2053,97.14,0.0
westland-infra,871687800090000015,BAKKERSHOF,2291DE,2291DE,WATERINGEN,39,100.0,100.0,100,92,3x25,2670,97.44,2.56
westland-infra,871687800090000015,WATERSTAATSPAD,2291DG,2291DX,WATERINGEN,51,94.12,100.0,100,51,3x25,4249,100.0,1.96
westland-infra,871687800090000015,AMBACHTSHOF,2291DZ,2291EA,WATERINGEN,17,94.12,100.0,100,94,3x25,4823,100.0,11.76
westland-infra,871687800090000015,NOORDWEG,2291EB,2291EE,WATERINGEN,17,88.24,100.0,100,94,3x25,7906,94.12,0.0
westland-infra,871687800090000015,POORTWEIDE,2291EH,2291EH,WATERINGEN,32,100.0,100.0,100,94,3x25,2708,100.0,0.0
westland-infra,871687800090000015,POORTWEIDE,2291EJ,2291EJ,WATERINGEN,39,100.0,100.0,100,92,3x25,3009,97.44,0.0
westland-infra,871687800090000015,ERASMUSWEG,2291EK,2291EN,WATERINGEN,27,100.0,100.0,100,100,3x25,3301,92.59,3.7
westland-infra,871687800090000015,PRINS HENDRIKSTRAAT,2291EP,2291EP,WATERINGEN,24,100.0,100.0,100,83,3x25,3961,91.67,4.17
westland-infra,871687800090000015,PRINS HENDRIKSTRAAT,2291ER,2291ER,WATERINGEN,23,100.0,100.0,100,91,3x25,3711,91.3,4.35
westland-infra,871687800090000015,PRINS HENDRIKSTRAAT,2291ES,2291ES,WATERINGEN,16,100.0,100.0,100,100,3x25,4171,68.75,0.0
westland-infra,871687800090000015,PRINS BERNHARDSTRAAT,2291ET,2291ET,WATERINGEN,15,100.0,100.0,100,100,3x25,4034,80.0,0.0
westland-infra,871687800090000015,AMBACHTSWEG,2291EV,2291EV,WATERINGEN,15,100.0,100.0,100,87,3x25,10825,93.33,0.0
westland-infra,871687800090000015,AMBACHTSWEG,2291EW,2291EX,WATERINGEN,33,100.0,100.0,100,91,3x25,5063,100.0,0.0
westland-infra,871687800090000015,AMBACHTSWEG,2291EZ,2291EZ,WATERINGEN,28,96.43,100.0,100,86,3x25,5473,89.29,0.0
westland-infra,871687800090000015,POELDIJKSEWEG,2291GA,2291GA,WATERINGEN,19,100.0,94.74,100,79,3x25,14935,89.47,5.26
westland-infra,871687800090000015,POELDIJKSEWEG,2291GB,2291GB,WATERINGEN,11,100.0,100.0,100,100,3x25,3943,90.91,9.09
westland-infra,871687800090000015,POELDIJKSEWEG,2291GC,2291GC,WATERINGEN,11,100.0,100.0,100,64,3x25,18465,90.91,9.09
westland-infra,871687800090000015,KORTE NOORDWEG,2291GE,2291GE,WATERINGEN,17,94.12,100.0,100,82,3x25,6312,100.0,0.0
westland-infra,871687800090000015,MARKUSLAAN,2291GG,2291GG,WATERINGEN,16,100.0,100.0,100,81,3x25,5864,100.0,0.0
westland-infra,871687800090000015,BLAUWE AKELEI,2291GH,2291GH,WATERINGEN,10,100.0,100.0,100,90,3x25,3375,100.0,0.0
westland-infra,871687800090000015,ROZEMARIJN,2291GJ,2291GJ,WATERINGEN,24,100.0,100.0,100,92,3x25,4230,100.0,4.17
westland-infra,871687800090000015,ROZEMARIJN,2291GK,2291GK,WATERINGEN,21,100.0,100.0,100,90,3x25,2447,100.0,0.0
westland-infra,871687800090000015,ROZEMARIJN,2291GL,2291GL,WATERINGEN,16,100.0,100.0,100,88,3x25,2160,100.0,6.25
westland-infra,871687800090000015,ROZEMARIJN,2291GM,2291GM,WATERINGEN,15,100.0,100.0,100,100,3x25,4169,100.0,0.0
westland-infra,871687800090000015,ROZEMARIJN,2291GN,2291GN,WATERINGEN,23,95.65,100.0,100,96,3x25,3427,100.0,0.0
westland-infra,871687800090000015,ROZEMARIJN,2291GP,2291GR,WATERINGEN,28,92.86,100.0,100,93,3x25,3488,96.43,0.0
westland-infra,871687800090000015,DE MEIBLOEM,2291GS,2291GS,WATERINGEN,18,100.0,100.0,100,89,3x25,4067,94.44,0.0
westland-infra,871687800090000015,DE MEIBLOEM,2291GT,2291GT,WATERINGEN,19,94.74,100.0,100,84,3x25,3444,100.0,0.0
westland-infra,871687800090000015,DE HOORNBLOEM,2291GV,2291GV,WATERINGEN,13,100.0,100.0,100,100,3x25,3455,100.0,0.0
westland-infra,871687800090000015,GELE MEERBLOEM,2291GW,2291GW,WATERINGEN,22,100.0,100.0,100,95,3x25,3316,100.0,0.0
westland-infra,871687800090000015,GELE MEERBLOEM,2291GX,2291GX,WATERINGEN,18,100.0,100.0,100,94,3x25,2536,100.0,0.0
westland-infra,871687800090000015,WILLIGE RIJZEN,2291GZ,2291HM,WATERINGEN,70,100.0,100.0,100,76,3x25,8653,91.43,2.86
westland-infra,871687800090000015,DORPSKADE,2291HN,2291HR,WATERINGEN,26,100.0,100.0,100,46,3x25,18314,96.15,7.69
westland-infra,871687800090000015,DORPSKADE,2291HS,2291HS,WATERINGEN,23,100.0,100.0,100,91,3x25,1605,100.0,0.0
westland-infra,871687800090000015,DORPSKADE,2291HT,2291HZ,WATERINGEN,30,93.33,100.0,100,73,3x25,12348,86.67,3.33
westland-infra,871687800090000015,DE FRANKENTHALER,2291JA,2291JA,WATERINGEN,25,100.0,100.0,100,96,3x25,2924,100.0,0.0
westland-infra,871687800090000015,DE FRANKENTHALER,2291JB,2291JB,WATERINGEN,15,100.0,100.0,100,93,3x25,3609,100.0,0.0
westland-infra,871687800090000015,DE FRANKENTHALER,2291JC,2291JC,WATERINGEN,16,100.0,100.0,100,94,3x25,3905,100.0,0.0
westland-infra,871687800090000015,DE FRANKENTHALER,2291JD,2291JD,WATERINGEN,10,90.0,100.0,100,90,3x25,3548,100.0,0.0
westland-infra,871687800090000015,DE FRANKENTHALER,2291JE,2291JE,WATERINGEN,12,100.0,100.0,100,92,3x25,4157,100.0,0.0
westland-infra,871687800090000015,DE MUSCAAT,2291JG,2291JG,WATERINGEN,14,100.0,100.0,100,86,3x25,3399,100.0,0.0
westland-infra,871687800090000015,DE MUSCAAT,2291JH,2291JH,WATERINGEN,17,100.0,100.0,100,100,3x25,3765,100.0,0.0
westland-infra,871687800090000015,DE MUSCAAT,2291JJ,2291JJ,WATERINGEN,13,100.0,100.0,100,100,3x25,4489,100.0,7.69
westland-infra,871687800090000015,DE COLMAN,2291JK,2291JK,WATERINGEN,16,87.5,100.0,100,81,3x25,3988,100.0,0.0
