net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,%Defintieve aansl (NRM),type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
westland-infra,871687800090000015,OOSTEINDE,2291AA,2291AE,WATERINGEN,29,96.55,100.0,100,83,3x25,7328,86.21,0.0
westland-infra,871687800090000015,WATERPARK,2291AK,2291AK,WATERINGEN,39,92.31,100.0,100,64,1x35,8209,97.44,0.0
westland-infra,871687800090000015,AZALEAPARK,2291AL,2291AL,WATERINGEN,29,100.0,100.0,100,86,1x35,3659,100.0,0.0
westland-infra,871687800090000015,DRUIVENLAAN,2291AN,2291AT,WATERINGEN,23,100.0,100.0,100,96,3x25,5082,91.3,0.0
westland-infra,871687800090000015,KWAKLAAN,2291AV,2291AV,WATERINGEN,15,100.0,100.0,100,93,3x25,3313,100.0,0.0
westland-infra,871687800090000015,VLOTLAAN,2291AW,2291AX,WATERINGEN,25,100.0,100.0,100,80,3x25,2390,68.0,0.0
westland-infra,871687800090000015,VLIETLAAN,2291AZ,2291AZ,WATERINGEN,23,95.65,100.0,100,87,1x35,2770,100.0,0.0
westland-infra,871687800090000015,HERENSTRAAT,2291BB,2291BB,WATERINGEN,29,100.0,100.0,100,72,3x25,13876,100.0,0.0
westland-infra,871687800090000015,HERENSTRAAT,2291BC,2291BC,WATERINGEN,11,100.0,100.0,100,82,3x25,7528,90.91,0.0
westland-infra,871687800090000015,HERENSTRAAT,2291BE,2291BG,WATERINGEN,13,100.0,100.0,100,54,3x25,22087,92.31,0.0
westland-infra,871687800090000015,HERENSTRAAT,2291BH,2291BH,WATERINGEN,19,100.0,100.0,100,63,3x25,16939,84.21,0.0
westland-infra,871687800090000015,HERENSTRAAT,2291BJ,2291BK,WATERINGEN,24,100.0,100.0,100,79,3x25,13421,91.67,0.0
westland-infra,871687800090000015,HERENSTRAAT,2291BL,2291BR,WATERINGEN,44,97.73,100.0,100,93,3x25,5215,88.64,0.0
westland-infra,871687800090000015,ARKPAVILJOEN,2291BS,2291BS,WATERINGEN,19,100.0,100.0,100,84,3x25,1678,94.74,0.0
westland-infra,871687800090000015,ARKPAVILJOEN,2291BT,2291BT,WATERINGEN,18,100.0,100.0,100,94,3x25,1403,100.0,0.0
