net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume
8716912000008,871691280000000008,Stationsplein,7901AA,7901AA,HOOGEVEEN,38.0,100.0,100.0,79.0,1x40,2843
8716912000008,871691280000000008,Stationsstraat,7901AB,7901AB,HOOGEVEEN,16.0,87.5,100.0,63.0,3x25,6517
8716912000008,871691280000000008,Crerarstraat,7901AC,7901AC,HOOGEVEEN,17.0,100.0,100.0,94.0,1x25,3060
8716912000008,871691280000000008,Crerarstraat,7901AD,7901AD,HOOGEVEEN,18.0,100.0,100.0,72.0,1x25,3119
8716912000008,871691280000000008,Crerarstraat,7901AE,7901AG,HOOGEVEEN,19.0,94.74,100.0,89.0,3x25,5220
8716912000008,871691280000000008,Eisenhowerstraat,7901AH,7901AH,HOOGEVEEN,13.0,100.0,100.0,92.0,1x25,2924
8716912000008,871691280000000008,Eisenhowerstraat,7901AJ,7901AJ,HOOGEVEEN,17.0,100.0,100.0,82.0,1x25,2409
8716912000008,871691280000000008,van Nijenhovelaan,7901AK,7901AK,HOOGEVEEN,11.0,90.91,100.0,64.0,1x40,3043
8716912000008,871691280000000008,Oostenrijkselaan,7901AL,7901AM,HOOGEVEEN,21.0,90.48,100.0,38.0,3x25,5569
8716912000008,871691280000000008,van Limburg Stirumstraat,7901AN,7901AN,HOOGEVEEN,16.0,87.5,100.0,50.0,3x25,3461
8716912000008,871691280000000008,van Limburg Stirumstraat,7901AP,7901AP,HOOGEVEEN,17.0,88.24,100.0,47.0,3x25,3221
8716912000008,871691280000000008,van Limburg Stirumstraat,7901AR,7901AR,HOOGEVEEN,25.0,92.0,100.0,80.0,3x25,5841
8716912000008,871691280000000008,van Limburg Stirumstraat,7901AS,7901AS,HOOGEVEEN,10.0,80.0,100.0,90.0,3x25,7377
8716912000008,871691280000000008,van Limburg Stirumstraat,7901AT,7901AT,HOOGEVEEN,25.0,96.0,100.0,52.0,3x25,3889
8716912000008,871691280000000008,Montgomerystraat,7901AV,7901BB,HOOGEVEEN,21.0,100.0,100.0,57.0,1x40,5094
8716912000008,871691280000000008,Blankenslaan-Oost,7901BE,7901BG,HOOGEVEEN,26.0,100.0,100.0,35.0,3x25,4540
8716912000008,871691280000000008,Blankenslaan-West,7901BH,7901BH,HOOGEVEEN,13.0,84.62,100.0,38.0,1x25,3192
8716912000008,871691280000000008,Blankenslaan-West,7901BJ,7901BK,HOOGEVEEN,27.0,96.3,100.0,52.0,1x25,4052
8716912000008,871691280000000008,Raadhuisstraat,7901BL,7901BS,HOOGEVEEN,31.0,87.1,100.0,42.0,1x25,8111
8716912000008,871691280000000008,Herman Bavinckstraat,7901BT,7901BT,HOOGEVEEN,17.0,100.0,100.0,65.0,1x25,2596
8716912000008,871691280000000008,Koelmanstraat,7901BV,7901BX,HOOGEVEEN,33.0,93.94,100.0,48.0,3x25,2389
8716912000008,871691280000000008,Dekkerplein,7901BZ,7901CB,HOOGEVEEN,39.0,100.0,100.0,92.0,1x40,2421
8716912000008,871691280000000008,van Hogendorpstraat,7901CC,7901CC,HOOGEVEEN,16.0,100.0,100.0,38.0,1x25,3038
8716912000008,871691280000000008,Ferdinand Bolstraat,7901CE,7901CE,HOOGEVEEN,17.0,100.0,100.0,65.0,3x25,4071
8716912000008,871691280000000008,Mesdagstraat,7901CG,7901CH,HOOGEVEEN,17.0,100.0,100.0,82.0,1x40,4836
8716912000008,871691280000000008,Jozef Israelsstraat,7901CJ,7901CJ,HOOGEVEEN,47.0,100.0,100.0,100.0,1x40,1351
8716912000008,871691280000000008,Jozef Israelsstraat,7901CK,7901CL,HOOGEVEEN,16.0,100.0,100.0,100.0,3x25,3548
8716912000008,871691280000000008,Bosboomstraat,7901CN,7901CR,HOOGEVEEN,24.0,100.0,100.0,38.0,1x40,3389
8716912000008,871691280000000008,Pieter de Hooghstraat,7901CS,7901CS,HOOGEVEEN,13.0,100.0,100.0,38.0,1x40,2590
8716912000008,871691280000000008,Prins Bernhardstraat,7901CT,7901EC,HOOGEVEEN,53.0,100.0,100.0,30.0,1x40,11168
8716912000008,871691280000000008,Groenewegenstraat,7901ED,7901ED,HOOGEVEEN,13.0,100.0,92.31,54.0,3x25,24611
8716912000008,871691280000000008,Schutstraat,7901EE,7901EE,HOOGEVEEN,27.0,100.0,96.3,44.0,3x25,9426
8716912000008,871691280000000008,Schutstraat,7901EG,7901EG,HOOGEVEEN,37.0,97.3,100.0,62.0,1x40,6348
8716912000008,871691280000000008,Schutstraat,7901EH,7901EK,HOOGEVEEN,35.0,100.0,97.14,57.0,1x40,2981
8716912000008,871691280000000008,Jan Steenstraat,7901EL,7901EL,HOOGEVEEN,20.0,100.0,100.0,60.0,1x25,2121
