net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume
8716912000008,871691280000000008,Stationsplein,7901AA,7901AA,HOOGEVEEN,41.0,100.0,100.0,73.0,1x40,3663
8716912000008,871691280000000008,Stationsstraat,7901AB,7901AB,HOOGEVEEN,16.0,87.5,100.0,63.0,3x25,7004
8716912000008,871691280000000008,Crerarstraat,7901AC,7901AC,HOOGEVEEN,17.0,100.0,100.0,94.0,1x25,2586
8716912000008,871691280000000008,Crerarstraat,7901AD,7901AD,HOOGEVEEN,18.0,100.0,100.0,72.0,1x25,3177
8716912000008,871691280000000008,Crerarstraat,7901AE,7901AG,HOOGEVEEN,19.0,94.74,100.0,89.0,3x25,5183
8716912000008,871691280000000008,Eisenhowerstraat,7901AH,7901AH,HOOGEVEEN,13.0,100.0,100.0,92.0,1x25,2991
8716912000008,871691280000000008,Eisenhowerstraat,7901AJ,7901AJ,HOOGEVEEN,17.0,100.0,100.0,82.0,1x25,2362
8716912000008,871691280000000008,van Nijenhovelaan,7901AK,7901AK,HOOGEVEEN,11.0,100.0,100.0,36.0,3x25,3226
8716912000008,871691280000000008,Oostenrijkselaan,7901AL,7901AM,HOOGEVEEN,21.0,90.48,100.0,43.0,1x25,5831
8716912000008,871691280000000008,van Limburg Stirumstraat,7901AN,7901AN,HOOGEVEEN,17.0,94.12,100.0,53.0,3x25,3728
8716912000008,871691280000000008,van Limburg Stirumstraat,7901AP,7901AP,HOOGEVEEN,17.0,94.12,100.0,47.0,3x25,3292
8716912000008,871691280000000008,van Limburg Stirumstraat,7901AR,7901AR,HOOGEVEEN,26.0,92.31,100.0,81.0,3x25,6000
8716912000008,871691280000000008,van Limburg Stirumstraat,7901AS,7901AS,HOOGEVEEN,10.0,80.0,100.0,90.0,3x25,6833
8716912000008,871691280000000008,van Limburg Stirumstraat,7901AT,7901AT,HOOGEVEEN,25.0,100.0,100.0,52.0,3x25,3860
8716912000008,871691280000000008,Montgomerystraat,7901AV,7901BB,HOOGEVEEN,21.0,100.0,100.0,52.0,1x40,5501
8716912000008,871691280000000008,Blankenslaan-Oost,7901BE,7901BG,HOOGEVEEN,26.0,100.0,100.0,38.0,3x25,4807
8716912000008,871691280000000008,Blankenslaan-West,7901BH,7901BH,HOOGEVEEN,13.0,100.0,100.0,46.0,1x40,3268
8716912000008,871691280000000008,Blankenslaan-West,7901BJ,7901BK,HOOGEVEEN,27.0,100.0,100.0,52.0,1x25,4515
8716912000008,871691280000000008,Raadhuisstraat,7901BL,7901BS,HOOGEVEEN,31.0,96.77,100.0,42.0,1x25,8571
8716912000008,871691280000000008,Herman Bavinckstraat,7901BT,7901BT,HOOGEVEEN,17.0,100.0,100.0,65.0,1x25,2421
8716912000008,871691280000000008,Koelmanstraat,7901BV,7901BX,HOOGEVEEN,33.0,100.0,100.0,48.0,3x25,2691
8716912000008,871691280000000008,Dekkerplein,7901BZ,7901CB,HOOGEVEEN,40.0,100.0,100.0,90.0,1x40,2237
8716912000008,871691280000000008,van Hogendorpstraat,7901CC,7901CC,HOOGEVEEN,16.0,100.0,100.0,38.0,1x25,3042
8716912000008,871691280000000008,Ferdinand Bolstraat,7901CE,7901CE,HOOGEVEEN,18.0,100.0,100.0,61.0,3x25,4033
8716912000008,871691280000000008,Mesdagstraat,7901CG,7901CH,HOOGEVEEN,17.0,100.0,100.0,82.0,1x40,5309
8716912000008,871691280000000008,Jozef Israelsstraat,7901CJ,7901CJ,HOOGEVEEN,47.0,100.0,100.0,100.0,1x40,1358
8716912000008,871691280000000008,Jozef Israelsstraat,7901CK,7901CL,HOOGEVEEN,16.0,100.0,100.0,100.0,3x25,3649
8716912000008,871691280000000008,Bosboomstraat,7901CN,7901CR,HOOGEVEEN,24.0,100.0,100.0,38.0,3x25,3360
8716912000008,871691280000000008,Pieter de Hooghstraat,7901CS,7901CS,HOOGEVEEN,13.0,100.0,100.0,38.0,1x40,2879
8716912000008,871691280000000008,Prins Bernhardstraat,7901CT,7901EC,HOOGEVEEN,53.0,100.0,100.0,30.0,3x25,11786
8716912000008,871691280000000008,Groenewegenstraat,7901ED,7901ED,HOOGEVEEN,13.0,100.0,92.31,54.0,3x25,28930
8716912000008,871691280000000008,Schutstraat,7901EE,7901EE,HOOGEVEEN,27.0,100.0,96.3,44.0,3x25,9346
8716912000008,871691280000000008,Schutstraat,7901EG,7901EG,HOOGEVEEN,37.0,97.3,100.0,62.0,1x40,6649
8716912000008,871691280000000008,Schutstraat,7901EH,7901EK,HOOGEVEEN,35.0,100.0,100.0,57.0,1x40,3163
8716912000008,871691280000000008,Jan Steenstraat,7901EL,7901EL,HOOGEVEEN,20.0,100.0,100.0,65.0,1x25,2201
8716912000008,871691280000000008,Jan Steenstraat,7901EN,7901EN,HOOGEVEEN,19.0,100.0,100.0,95.0,1x25,1350
8716912000008,871691280000000008,Jan Steenstraat,7901EP,7901EP,HOOGEVEEN,12.0,100.0,100.0,50.0,1x25,1943
8716912000008,871691280000000008,Vermeerstraat,7901ER,7901ER,HOOGEVEEN,20.0,100.0,100.0,90.0,1x25,4284
8716912000008,871691280000000008,Vermeerstraat,7901ES,7901ES,HOOGEVEEN,17.0,100.0,100.0,88.0,1x40,1974
8716912000008,871691280000000008,Rubensstraat,7901ET,7901ET,HOOGEVEEN,12.0,100.0,100.0,75.0,1x25,1924
8716912000008,871691280000000008,Rubensstraat,7901EV,7901EV,HOOGEVEEN,15.0,100.0,100.0,53.0,1x25,2534
8716912000008,871691280000000008,Reviusplein,7901EW,7901GA,HOOGEVEEN,20.0,100.0,95.0,65.0,3x25,2934
8716912000008,871691280000000008,Ruysdaelstraat,7901GB,7901GB,HOOGEVEEN,15.0,100.0,100.0,47.0,1x25,2839
8716912000008,871691280000000008,Ruysdaelstraat,7901GC,7901GC,HOOGEVEEN,11.0,100.0,100.0,73.0,1x40,3310
8716912000008,871691280000000008,van der Helststraat,7901GE,7901GG,HOOGEVEEN,16.0,100.0,100.0,81.0,1x40,3195
8716912000008,871691280000000008,Frans Halsstraat,7901GH,7901GH,HOOGEVEEN,15.0,100.0,100.0,73.0,1x25,2175
8716912000008,871691280000000008,Frans Halsstraat,7901GJ,7901GJ,HOOGEVEEN,15.0,100.0,100.0,87.0,1x25,1985
8716912000008,871691280000000008,van Goghlaan,7901GK,7901GL,HOOGEVEEN,18.0,100.0,100.0,44.0,1x25,8741
8716912000008,871691280000000008,Da Costastraat,7901HA,7901HB,HOOGEVEEN,22.0,100.0,100.0,55.0,1x25,2357
8716912000008,871691280000000008,Da Costastraat,7901HC,7901HC,HOOGEVEEN,12.0,100.0,100.0,75.0,1x25,2003
8716912000008,871691280000000008,Hennie van Andelhof,7901HD,7901HD,HOOGEVEEN,80.0,100.0,100.0,98.0,3x25,27808
8716912000008,871691280000000008,Da Costastraat,7901HE,7901HE,HOOGEVEEN,13.0,92.31,100.0,46.0,1x25,2873
8716912000008,871691280000000008,Da Costastraat,7901HG,7901HG,HOOGEVEEN,15.0,100.0,100.0,67.0,1x40,2282
8716912000008,871691280000000008,Da Costastraat,7901HH,7901HH,HOOGEVEEN,28.0,92.86,100.0,61.0,1x40,3009
8716912000008,871691280000000008,De Genestetlaan,7901HN,7901HP,HOOGEVEEN,16.0,100.0,100.0,56.0,1x25,3055
8716912000008,871691280000000008,Vondelstraat,7901HR,7901HR,HOOGEVEEN,10.0,100.0,100.0,40.0,1x40,4661
8716912000008,871691280000000008,Huijgensstraat,7901HS,7901HS,HOOGEVEEN,14.0,100.0,100.0,79.0,1x25,1876
8716912000008,871691280000000008,Huijgensstraat,7901HT,7901HT,HOOGEVEEN,12.0,100.0,100.0,83.0,1x25,2279
8716912000008,871691280000000008,Huijgensstraat,7901HV,7901HV,HOOGEVEEN,14.0,100.0,100.0,71.0,1x25,2548
8716912000008,871691280000000008,Huijgensstraat,7901HW,7901HW,HOOGEVEEN,12.0,100.0,100.0,67.0,1x25,2293
8716912000008,871691280000000008,Bilderdijklaan,7901JA,7901JA,HOOGEVEEN,14.0,100.0,100.0,57.0,1x25,1894
8716912000008,871691280000000008,Bilderdijklaan,7901JB,7901JB,HOOGEVEEN,11.0,100.0,100.0,55.0,1x25,2211
8716912000008,871691280000000008,Bilderdijklaan,7901JC,7901JC,HOOGEVEEN,19.0,100.0,100.0,84.0,1x25,1760
8716912000008,871691280000000008,Bilderdijklaan,7901JD,7901JD,HOOGEVEEN,14.0,100.0,100.0,50.0,1x25,2312
8716912000008,871691280000000008,Bilderdijklaan,7901JE,7901JE,HOOGEVEEN,49.0,100.0,100.0,84.0,3x25,23958
8716912000008,871691280000000008,Bilderdijklaan,7901JG,7901JG,HOOGEVEEN,12.0,100.0,100.0,58.0,1x25,2187
8716912000008,871691280000000008,Bilderdijklaan,7901JH,7901JH,HOOGEVEEN,12.0,100.0,100.0,58.0,1x25,2451
8716912000008,871691280000000008,Westerkerkstraat,7901JJ,7901JK,HOOGEVEEN,22.0,95.45,100.0,55.0,1x25,3046
8716912000008,871691280000000008,Jacob Catsstraat,7901JL,7901JL,HOOGEVEEN,46.0,97.83,100.0,70.0,1x40,4542
8716912000008,871691280000000008,Bilderdijkplein,7901JM,7901JM,HOOGEVEEN,16.0,93.75,100.0,63.0,1x40,3792
8716912000008,871691280000000008,Reviusweg,7901JN,7901JR,HOOGEVEEN,23.0,100.0,100.0,48.0,3x25,16499
8716912000008,871691280000000008,Hoofdstraat,7901JS,7901JT,HOOGEVEEN,31.0,100.0,96.77,48.0,3x25,18035
8716912000008,871691280000000008,Hoofdstraat,7901JV,7901JV,HOOGEVEEN,22.0,95.45,100.0,41.0,1x40,14937
8716912000008,871691280000000008,Hoofdstraat,7901JW,7901JW,HOOGEVEEN,24.0,100.0,100.0,33.0,3x25,25078
8716912000008,871691280000000008,Hoofdstraat,7901JX,7901JX,HOOGEVEEN,12.0,91.67,100.0,33.0,3x25,15684
8716912000008,871691280000000008,Hoofdstraat,7901JZ,7901JZ,HOOGEVEEN,56.0,96.43,100.0,38.0,1x40,17889
8716912000008,871691280000000008,Dekkerpassage,7901KA,7901KB,HOOGEVEEN,20.0,100.0,100.0,85.0,3x25,6200
8716912000008,871691280000000008,Dekkerpassage,7901KC,7901KC,HOOGEVEEN,17.0,100.0,100.0,100.0,3x25,2222
8716912000008,871691280000000008,Dekkerpassage,7901KD,7901KD,HOOGEVEEN,17.0,100.0,100.0,100.0,3x25,2243
8716912000008,871691280000000008,Dekkerpassage,7901KE,7901KE,HOOGEVEEN,16.0,100.0,100.0,100.0,3x25,2529
8716912000008,871691280000000008,Nicolaas Beetsstraat,7901KH,7901KJ,HOOGEVEEN,21.0,100.0,100.0,43.0,3x25,4869
8716912000008,871691280000000008,Nicolaas Beetsplein,7901KK,7901KL,HOOGEVEEN,32.0,100.0,100.0,63.0,1x40,5254
8716912000008,871691280000000008,Brinkstraat,7901LA,7901LA,HOOGEVEEN,19.0,100.0,100.0,58.0,3x25,7444
8716912000008,871691280000000008,Pesserstraat,7901LB,7901LB,HOOGEVEEN,18.0,83.33,100.0,50.0,3x25,4780
8716912000008,871691280000000008,Pesserstraat,7901LC,7901LC,HOOGEVEEN,17.0,100.0,100.0,41.0,1x40,5576
8716912000008,871691280000000008,Pesserstraat,7901LE,7901LE,HOOGEVEEN,10.0,100.0,100.0,40.0,1x25,3696
8716912000008,871691280000000008,Marnixstraat,7901LG,7901LG,HOOGEVEEN,15.0,100.0,100.0,80.0,1x25,2024
8716912000008,871691280000000008,Marnixstraat,7901LH,7901LH,HOOGEVEEN,16.0,100.0,100.0,63.0,1x25,1847
8716912000008,871691280000000008,Voltastraat,7901LJ,7902AC,HOOGEVEEN,54.0,98.15,100.0,35.0,1x25,11456
8716912000008,871691280000000008,Amalia van Solmsstraat,7902AD,7902AD,HOOGEVEEN,22.0,100.0,100.0,64.0,1x40,2408
8716912000008,871691280000000008,Prins Mauritsplein,7902AE,7902AE,HOOGEVEEN,33.0,100.0,93.94,70.0,1x40,2391
8716912000008,871691280000000008,Prins Mauritsplein,7902AG,7902AG,HOOGEVEEN,64.0,100.0,98.44,80.0,1x40,2896
8716912000008,871691280000000008,Prinses Marijkestraat,7902AH,7902AH,HOOGEVEEN,15.0,100.0,100.0,73.0,1x40,2241
8716912000008,871691280000000008,Prinses Marijkestraat,7902AJ,7902AJ,HOOGEVEEN,15.0,100.0,100.0,67.0,1x40,2795
8716912000008,871691280000000008,Prinses Irenestraat,7902AK,7902AK,HOOGEVEEN,11.0,100.0,100.0,55.0,1x40,3759
8716912000008,871691280000000008,Prinses Irenestraat,7902AL,7902AL,HOOGEVEEN,23.0,100.0,100.0,57.0,1x40,2998
8716912000008,871691280000000008,Prinses Margrietstraat,7902AM,7902AM,HOOGEVEEN,12.0,91.67,100.0,58.0,1x40,3034
8716912000008,871691280000000008,Noorderweg,7902AN,7902AN,HOOGEVEEN,18.0,100.0,100.0,61.0,1x40,3181
8716912000008,871691280000000008,Noorderweg,7902AP,7902AR,HOOGEVEEN,20.0,95.0,100.0,40.0,1x25,2814
8716912000008,871691280000000008,Noorderweg,7902AS,7902AT,HOOGEVEEN,29.0,100.0,100.0,52.0,1x40,5941
8716912000008,871691280000000008,Willemskade,7902AV,7902AV,HOOGEVEEN,70.0,100.0,100.0,91.0,1x40,3275
8716912000008,871691280000000008,Willemskade,7902AX,7902BE,HOOGEVEEN,41.0,100.0,100.0,83.0,1x40,2433
8716912000008,871691280000000008,Wilhelminastraat,7902BG,7902BG,HOOGEVEEN,24.0,100.0,100.0,100.0,1x35,2615
8716912000008,871691280000000008,Schoolstraat,7902BH,7902BH,HOOGEVEEN,11.0,100.0,100.0,100.0,1x25,1367
8716912000008,871691280000000008,Schoolstraat,7902BJ,7902BJ,HOOGEVEEN,42.0,100.0,100.0,79.0,1x25,3503
8716912000008,871691280000000008,Markt,7902BK,7902BK,HOOGEVEEN,50.0,100.0,100.0,80.0,1x40,9134
8716912000008,871691280000000008,Wilhelminaplein,7902BL,7902BL,HOOGEVEEN,17.0,100.0,100.0,76.0,1x25,4024
8716912000008,871691280000000008,Wilhelminastraat,7902BM,7902BM,HOOGEVEEN,19.0,100.0,100.0,63.0,1x25,2654
8716912000008,871691280000000008,Wilhelminastraat,7902BN,7902BN,HOOGEVEEN,14.0,100.0,100.0,57.0,1x40,2528
8716912000008,871691280000000008,Wilhelminastraat,7902BP,7902BP,HOOGEVEEN,60.0,98.33,100.0,83.0,1x40,2238
8716912000008,871691280000000008,Nassaustraat,7902BR,7902BS,HOOGEVEEN,15.0,100.0,93.33,60.0,1x25,2787
8716912000008,871691280000000008,Emmastraat,7902BT,7902BT,HOOGEVEEN,13.0,100.0,100.0,69.0,1x25,1683
8716912000008,871691280000000008,Emmastraat,7902BV,7902BX,HOOGEVEEN,35.0,100.0,100.0,69.0,1x25,2659
8716912000008,871691280000000008,Prins Hendrikstraat,7902BZ,7902CA,HOOGEVEEN,30.0,100.0,100.0,50.0,1x40,3009
8716912000008,871691280000000008,Oranjestraat,7902CB,7902CB,HOOGEVEEN,13.0,100.0,100.0,54.0,1x25,2768
8716912000008,871691280000000008,Oranjestraat,7902CC,7902CC,HOOGEVEEN,13.0,100.0,100.0,77.0,1x25,2616
8716912000008,871691280000000008,Grote Kerkstraat,7902CD,7902CG,HOOGEVEEN,26.0,100.0,88.46,38.0,3x25,14961
8716912000008,871691280000000008,Grote Kerkstraat,7902CH,7902CH,HOOGEVEEN,17.0,94.12,100.0,47.0,1x40,3953
8716912000008,871691280000000008,Grote Kerkstraat,7902CJ,7902CJ,HOOGEVEEN,15.0,100.0,100.0,27.0,3x25,31163
8716912000008,871691280000000008,Grote Kerkstraat,7902CK,7902CK,HOOGEVEEN,20.0,100.0,95.0,60.0,3x25,4959
8716912000008,871691280000000008,Grote Kerkstraat,7902CL,7902CL,HOOGEVEEN,10.0,100.0,100.0,50.0,1x40,2490
8716912000008,871691280000000008,Grote Kerkstraat,7902CM,7902CM,HOOGEVEEN,11.0,100.0,100.0,36.0,1x25,5498
8716912000008,871691280000000008,Kleine Kerkstraat,7902CN,7902CR,HOOGEVEEN,22.0,100.0,100.0,64.0,1x40,2543
8716912000008,871691280000000008,Hoofdstraat,7902EA,7902EA,HOOGEVEEN,15.0,100.0,100.0,47.0,3x25,16667
8716912000008,871691280000000008,Hoofdstraat,7902EB,7902EB,HOOGEVEEN,14.0,100.0,100.0,36.0,3x25,10080
8716912000008,871691280000000008,Hoofdstraat,7902EC,7902ED,HOOGEVEEN,21.0,100.0,100.0,38.0,3x25,32032
8716912000008,871691280000000008,Van Echtenplein,7902EE,7902EE,HOOGEVEEN,23.0,95.65,100.0,96.0,1x40,2428
8716912000008,871691280000000008,Hoofdstraat,7902EG,7902EG,HOOGEVEEN,66.0,100.0,100.0,44.0,1x25,9025
8716912000008,871691280000000008,Hoofdstraat,7902EH,7902EH,HOOGEVEEN,13.0,100.0,100.0,46.0,3x25,33607
8716912000008,871691280000000008,Hoofdstraat,7902EJ,7902EJ,HOOGEVEEN,14.0,100.0,100.0,43.0,3x35,25384
8716912000008,871691280000000008,van Echtenstraat,7902EK,7902EK,HOOGEVEEN,36.0,100.0,100.0,36.0,1x40,4668
8716912000008,871691280000000008,van Echtenstraat,7902EL,7902EL,HOOGEVEEN,21.0,95.24,100.0,38.0,1x25,3407
8716912000008,871691280000000008,van Echtenstraat,7902EM,7902EM,HOOGEVEEN,13.0,100.0,100.0,38.0,1x40,3706
8716912000008,871691280000000008,van Echtenstraat,7902EN,7902EN,HOOGEVEEN,14.0,100.0,100.0,57.0,3x25,4985
8716912000008,871691280000000008,van Echtenstraat,7902EP,7902EP,HOOGEVEEN,24.0,100.0,100.0,46.0,1x25,3031
8716912000008,871691280000000008,van Echtenstraat,7902ER,7902ER,HOOGEVEEN,10.0,100.0,100.0,40.0,1x25,3179
8716912000008,871691280000000008,Jakob Elemastraat,7902ET,7902EV,HOOGEVEEN,14.0,100.0,100.0,93.0,1x25,1529
8716912000008,871691280000000008,Van Echtenstraat,7902EW,7902EW,HOOGEVEEN,21.0,100.0,100.0,81.0,1x25,2137
8716912000008,871691280000000008,Bentinckslaan,7902GA,7902GA,HOOGEVEEN,11.0,100.0,100.0,45.0,1x25,3509
