net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume
8716912000008,871691280000000008,Stationsplein,7901AA,7901AA,HOOGEVEEN,38.0,100.0,100.0,79.0,1x40,2902
8716912000008,871691280000000008,Stationsstraat,7901AB,7901AB,HOOGEVEEN,16.0,87.5,100.0,63.0,3x25,6534
8716912000008,871691280000000008,Crerarstraat,7901AC,7901AC,HOOGEVEEN,17.0,100.0,100.0,94.0,1x25,2925
8716912000008,871691280000000008,Crerarstraat,7901AD,7901AD,HOOGEVEEN,18.0,100.0,100.0,72.0,1x25,3361
8716912000008,871691280000000008,Crerarstraat,7901AE,7901AG,HOOGEVEEN,19.0,89.47,100.0,89.0,3x25,5036
8716912000008,871691280000000008,Eisenhowerstraat,7901AH,7901AH,HOOGEVEEN,13.0,100.0,100.0,92.0,1x25,2777
8716912000008,871691280000000008,Eisenhowerstraat,7901AJ,7901AJ,HOOGEVEEN,17.0,100.0,100.0,82.0,1x25,2690
8716912000008,871691280000000008,van Nijenhovelaan,7901AK,7901AK,HOOGEVEEN,11.0,81.82,100.0,64.0,1x40,3130
8716912000008,871691280000000008,Oostenrijkselaan,7901AL,7901AM,HOOGEVEEN,21.0,90.48,100.0,38.0,3x25,5543
8716912000008,871691280000000008,van Limburg Stirumstraat,7901AN,7901AN,HOOGEVEEN,16.0,81.25,100.0,50.0,3x25,3355
8716912000008,871691280000000008,van Limburg Stirumstraat,7901AP,7901AP,HOOGEVEEN,17.0,88.24,100.0,47.0,3x25,3644
8716912000008,871691280000000008,van Limburg Stirumstraat,7901AR,7901AR,HOOGEVEEN,25.0,92.0,100.0,80.0,3x25,5477
8716912000008,871691280000000008,van Limburg Stirumstraat,7901AS,7901AS,HOOGEVEEN,10.0,80.0,100.0,90.0,3x25,7072
8716912000008,871691280000000008,van Limburg Stirumstraat,7901AT,7901AT,HOOGEVEEN,25.0,96.0,100.0,52.0,3x25,4394
8716912000008,871691280000000008,Montgomerystraat,7901AV,7901BB,HOOGEVEEN,21.0,100.0,100.0,57.0,1x40,5082
