net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume
8716912000008,871691280000000008,Stationsplein,7901AA,7901AA,HOOGEVEEN,42.0,100.0,97.62,71.0,1x40,3356
8716912000008,871691280000000008,Stationsstraat,7901AB,7901AB,HOOGEVEEN,17.0,100.0,100.0,65.0,3x25,8338
8716912000008,871691280000000008,Crerarstraat,7901AC,7901AC,HOOGEVEEN,17.0,100.0,100.0,94.0,1x25,2359
8716912000008,871691280000000008,Crerarstraat,7901AD,7901AD,HOOGEVEEN,18.0,100.0,94.44,72.0,1x25,2625
8716912000008,871691280000000008,Crerarstraat,7901AE,7901AG,HOOGEVEEN,20.0,100.0,100.0,85.0,3x25,7619
8716912000008,871691280000000008,Eisenhowerstraat,7901AH,7901AH,HOOGEVEEN,13.0,100.0,100.0,92.0,1x25,2325
8716912000008,871691280000000008,Eisenhowerstraat,7901AJ,7901AJ,HOOGEVEEN,17.0,100.0,100.0,82.0,1x25,2630
8716912000008,871691280000000008,van Nijenhovelaan,7901AK,7901AK,HOOGEVEEN,11.0,100.0,100.0,45.0,1x25,3202
8716912000008,871691280000000008,Oostenrijkselaan,7901AL,7901AM,HOOGEVEEN,21.0,100.0,100.0,43.0,1x25,6072
8716912000008,871691280000000008,van Limburg Stirumstraat,7901AN,7901AN,HOOGEVEEN,17.0,100.0,100.0,53.0,3x25,3948
8716912000008,871691280000000008,van Limburg Stirumstraat,7901AP,7901AP,HOOGEVEEN,17.0,100.0,100.0,47.0,3x25,3667
8716912000008,871691280000000008,van Limburg Stirumstraat,7901AR,7901AR,HOOGEVEEN,26.0,100.0,100.0,77.0,3x25,6506
8716912000008,871691280000000008,van Limburg Stirumstraat,7901AS,7901AS,HOOGEVEEN,10.0,100.0,100.0,90.0,3x25,5928
8716912000008,871691280000000008,van Limburg Stirumstraat,7901AT,7901AT,HOOGEVEEN,25.0,100.0,100.0,52.0,3x25,4218
8716912000008,871691280000000008,Montgomerystraat,7901AV,7901BB,HOOGEVEEN,21.0,100.0,100.0,48.0,1x40,4881
8716912000008,871691280000000008,Blankenslaan-Oost,7901BE,7901BG,HOOGEVEEN,26.0,100.0,100.0,38.0,3x25,5133
8716912000008,871691280000000008,Blankenslaan-West,7901BH,7901BH,HOOGEVEEN,14.0,100.0,100.0,43.0,1x40,5164
8716912000008,871691280000000008,Blankenslaan-West,7901BJ,7901BK,HOOGEVEEN,27.0,100.0,100.0,52.0,1x25,4964
8716912000008,871691280000000008,Raadhuisstraat,7901BL,7901BS,HOOGEVEEN,32.0,100.0,100.0,44.0,1x25,8264
8716912000008,871691280000000008,Herman Bavinckstraat,7901BT,7901BT,HOOGEVEEN,18.0,100.0,100.0,67.0,1x25,2525
8716912000008,871691280000000008,Koelmanstraat,7901BV,7901BX,HOOGEVEEN,33.0,100.0,100.0,48.0,3x25,2802
8716912000008,871691280000000008,Dekkerplein,7901BZ,7901CB,HOOGEVEEN,40.0,100.0,100.0,90.0,1x40,2132
8716912000008,871691280000000008,van Hogendorpstraat,7901CC,7901CC,HOOGEVEEN,16.0,100.0,100.0,38.0,1x25,2799
8716912000008,871691280000000008,Ferdinand Bolstraat,7901CE,7901CE,HOOGEVEEN,17.0,100.0,100.0,65.0,3x25,4268
8716912000008,871691280000000008,Mesdagstraat,7901CG,7901CH,HOOGEVEEN,17.0,100.0,100.0,82.0,1x40,5168
8716912000008,871691280000000008,Jozef Israelsstraat,7901CJ,7901CJ,HOOGEVEEN,47.0,100.0,100.0,100.0,1x40,1442
8716912000008,871691280000000008,Jozef Israelsstraat,7901CK,7901CL,HOOGEVEEN,16.0,100.0,100.0,100.0,3x25,4033
